text,keywords
"during the term, and for a period of twelve months thereafter, rogers and its representatives shall have the right",shall period term right
"upon reasonable prior written notice to licensor, and during regular business hours, to inspect and or audit licensor s books and records to confirm compliance with licensor s obligations under this section",compliance audit inspect licensor notice
"each of the parties may, at its own expense, audit the other party s compliance with this agreement",audit compliance agreement expense party
"licensee shall make such books and records, and appropriate personnel, available during normal business hours for audit by licensor or its authorized representative provided that licensor shall a provide licensee with reasonable prior notice of any audit b undertake an audit no more than once per calendar year",audit licensee authorized undertake licensor
"the as parties shall have the right, upon at least five days written notice and no more than once each contract year of the term to inspect musclepharm s books and records and all other documents and material in the possession of or under the control of musclepharm with respect to the licensed products at the place or places where such records are normally retained by musclepharm in the event a shortfall in the amount of five percent or more is discovered, musclepharm shall reimburse the as parties for the cost of the audit including any reasonable attorney s fees incurred in connection therewith",audit inspect contract attorney reimburse
"musclepharm shall at all reasonable times during the term but no more than once during each contract year of the term , and upon reasonable notice, permit the as parties to send their authorized representatives to inspect the facilities of musclepharm or its agents in order to confirm that the production of the licensed products hereunder is in compliance with the quality standards set out herein and",compliance contract licensed production authorized
"at musclepharm s expense, randomly test the formulas of the licensed products for quality control purposes, although the as parties will have no obligation to do so",licensed test quality expense randomly
"not more than once per calendar quarter, each party or its independent auditor who shall be a certified public accountant shall have the right, on not less than fifteen calendar days prior notice and not during the first twenty days after the close of any fiscal quarter of the other parties",auditor accountant quarter fiscal calendar
"such audit shall be conducted at the premises where the audited party maintains consolidated books of account provided however, that the auditing party may conduct all or any part of such audit at any of the audited party s premises where any relevant books of account and or records are located during such audits, the auditing party shall have the right to take extracts and or make copies of the audited party s records as it deems necessary such audits shall be at the auditing party s cost",audit account
"subject to section , if an audit by an independent accounting firm establishes a deficiency of more than three percent between the amount shown to be due to the auditing party and the amount actually paid for the period being audited, all actual and reasonable costs and expenses incurred by the auditing party in connection with such audit shall be paid by the audited party",audit accounting independent percent
"the exercise by any party in whole or in part, at any time of the right to inspect and or audit records and accounts or of any other right herein granted, or the acceptance by such party of any statement or statements or the receipt and or deposit by such party",audit inspect receipt acceptance deposit
"each party shall cause any subsidiary or other affiliate including, a subsidiary or other affiliate of the online group or skype group, as applicable to grant to the other party the audit rights granted hereunder with respect to such other party",affiliate audit subsidiary grant applicable
"each party shall permit an independent certified public accounting firm selected by the auditing party and reasonably acceptable to the non auditing party, that has agreed to be bound by a confidentiality agreement reasonably acceptable to the parties, to have access",accounting confidentiality agreement access independent
"during normal business hours and upon reasonable prior notice not more often than once in any calendar year , to those books and records maintained by the non auditing party necessary for the auditing party to verify the accuracy of the non auditing party s calculations under this section and or cost of product s for any period ending not more than two years prior to the date of such request, subject to any limitations in scope necessary to comply with applicable law",business applicable cost calendar date
"third party confidentiality restrictions, or maintain legal privilege, including but not limited to third party pricing information",confidentiality privilege legal limited information
"at the request of exxonmobil, fce will permit, at reasonable intervals and during regular business hours",permit reasonable business request regular
"during the term of this agreement and at least three years thereafter, but no more than once per fiscal year, an independent certified public accounting firm of nationally recognized standing selected by exxonmobil and approved by fce",accounting agreement certified independent firm
"which approval will not be unreasonably withheld to inspect, during regular business hours, and accounts and any part of the applicable operations and facilities of fce relevant to this agreement",approval agreement inspect withheld applicable
"and to have access to fce s knowledgeable personnel, as may be necessary to determine the completeness and accuracy of any accounting and payments required to be made under this agreement and compliance with other terms of this agreement, subject to the following a exxonmobil and its employees or other representatives will have the right to reproduce for its internal records any of the documents kept by fce in accordance with paragraph recordkeeping",compliance accounting agreement knowledgeable accordance
"such reproduced documents shall be subject to the confidentiality and use provisions contained in article and b all expenses of each such audit, including any pre approved reasonable expenses incurred by fce for such audit, will be for the account of exxonmobil",audit confidentiality article
"the distributor undertakes and agrees with the supplier that at all times during the term it will omitted allow the supplier, on reasonable notice, access to its accounts and records relating to the sale or distribution of the products for inspection but not more than once in each year",distributor supplier inspection allow sale
"during the term of this agreement, distributor shall afford to hydraspin and its authorized representatives full access at all reasonable times and upon reasonable prior notice, to all such books and records with respect to the products",distributor agreement access authorized afford
"during the term, franchisor shall have the right to conduct audits of franchisee with respect to the smaaash centres, and inspect the smaaash centres",inspect shall conduct respect term
"to the extent permitted under applicable law and, its relevant third party agreements, a cytodyn shall provide vyera with reasonable advance notice of any scheduled regulatory inspection of cytodyn or third party manufacturing facilities used for supply of the licensed product as contemplated by article",regulatory inspection licensed product law
"upon reasonable prior notice, but not more than once per calendar year, such records of vyera and its affiliates shall be available during vyera s and its affiliates regular business hours for a period of three years from the end of the calendar year to which they pertain for examination at the expense of cytodyn by an independent certified public accountant selected by cytodyn and reasonably acceptable to vyera",accountant calendar year business
"the company shall make and retain, for a period of three years following the period of each report required by paragraph , true and accurate records",company report paragraph retain following
"at t and its auditors including internal audit staff and external auditors and governmental authorities shall have the right to review such records at t audits held and created by vendor, to verify the following i the accuracy of vendor s invoices and at t s payment obligations hereunder ii that the work charged for was actually performed iii that the services have been and are being provided in accordance with this agreement iv the integrity of vendor s systems that process, and transmit at t data v vendor s records relating to the performance of vendor s subcontractors with respect to any portion of the services and vi that vendor and its subcontractors are complying with section hereof",audit vendor integrity agreement
"when the firstnet authority or other governmental authority requests to review vendor s records, at t and its auditors will review these records first if the firstnet authority or other governmental authority permits such review, and provide the records to the requesting governmental authority provided",authority vendor review governmental
"the firstnet authority and other governmental authorities retain the right to perform audits independent of at t. subject to subsection g below, vendor shall provide and shall require that its subcontractors provide to at t, its auditors including internal audit staff and external auditors",audit authority vendor staff shall
"and governmental authorities access at all reasonable times to i any facility at which the services or any portion thereof are being performed ii systems and assets used to provide the services or any portion thereof iii vendor employees and subcontractor employees providing the services or any portion thereof and iv all vendor and subcontractor records, including financial records relating to the invoices and payment obligations and supporting documentation, pertaining to the services",access governmental facility vendor
