,text,keywords
0,"subject to the terms and conditions of this agreement, company hereby grants to ma the right to advertise, market and sell to corporate users",advertise market agreement company sell
1,"government agencies and educational facilities clients for their own internal language learning, soft skills and communication purposes only, and not for remarketing or redistribution",educational language government communication learning
2,"and not for use in a data center environment for multiple users clients, unless otherwise agreed to by company prior in writing, the technology listed in schedule a of this agreement",agreement technology schedule company data
3,"and to sell and or bundle technology maintenance for the technology and to provide first line technical support and implementation services for the technology in the territories listed in schedule a of this agreement, providing ma meets the criteria required for delivering services according to schedule a. company hereby grants ma, during the term of this agreement",maintenance agreement technology technical bundle
4,"during the term, rogers shall have the non exclusive right to distribute and exhibit each licensed program on a vod basis for a period of ninety consecutive days, or such longer period as may be agreed to by rogers and licensor the license period",license licensed distribute days exclusive
5,"licensed rights to convergtv and convergtv channels and or distribution outlets x all, including but not limited to xsimultaneous internet streaming x ott television x internet protocol television x radio, fiber optic x alternative",licensed streaming radio television limited
6,"secondary and specialty distribution x stored as vod, content distribution networks company servers x full television broadcast rights x free terrestrial, satellite x pay terrestrial",broadcast satellite distribution television content
7,"satellite x direct satellite ip distribution systems for the license term and within the licensed territory, producer hereby grants to convergtv a right and license to distribute the program, file or video listed on the deal terms above the program consisting of omitted episodes series or omitted one offs",satellite license licensed distribute direct
8,"producer further grants to convergtv the right and license to distribute the program on any convergtv channel, and or other distribution outlets, that exists today or that is created or developed in the future and this right includes the right to distribute on any channels of a convergtv affiliate and or other distribution outlets without limitation",license distribute affiliate channel producer
9,"producer further grants to convergtv the right and license to distribute and re distribute, including relicensing or sublicensing, the program at such dates and times as are determined by convergtv in its sole discretion",license distribute producer discretion program
10,"producer further grants to convergtv the right and license to create re edit , at its sole cost and expense, new and different versions of the program",license producer program create edit
11,"create foreign language, subtitled or translated versions of the program as well as to create closed captioned versions of the program, or other standards",program language foreign create closed
12,"the grant of rights and license pursuant to this section shall include, but not be limited to, the right of convergtv to distribute and re distribute all or any portions of the program and promotional works",license distribute limited promotional grant
13,"including excerpts therefrom, and any new and different versions of the program, on simultaneous internet transmission or streaming",streaming program simultaneous transmission new
14,"internet protocol television and any television networks and stations, and or other distribution outlets, via domestic or foreign television signals",television protocol domestic foreign distribution
15,"as well as through catv and dbs systems, fiber optic and or other modes of distribution yet to be developed, but which may be utilized by convergtv in the future",fiber optic distribution future
16,"subject to licensee s on going compliance with section and all other terms and conditions of this agreement, licensor grants to licensee an exclusive save for rights reserved to licensor hereunder , non transferable except as provided in section and non sublicensable license",license licensee licensor compliance transferable
